iter	Passed	Remaining
589	42152	29292
590	42235	29228
591	42320	29166
592	42401	29101
593	42487	29040
594	42579	28982
595	42690	28938
596	42769	28870
597	42845	28802
598	42932	28741
599	43010	28673
600	43083	28603
601	43159	28534
602	43233	28463
603	43303	28391
604	43371	28317
605	43443	28245
606	43511	28171
607	43582	28099
608	43663	28033
609	43743	27967
610	43821	27899
611	43895	27829
612	43972	27760
613	44073	27707
614	44149	27638
615	44223	27568
616	44301	27500
617	44384	27435
618	44455	27362
619	44529	27292
620	44608	27224
621	44682	27154
622	44759	27085
623	44831	27013
624	44901	26940
625	44970	26867
626	45052	26801
627	45119	26726
628	45195	26657
629	45274	26589
630	45350	26520
631	45426	26451
632	45495	26377
633	45567	26305
634	45642	26235
635	45720	26167
636	45794	26096
637	45868	26025
638	45940	25953
639	46012	25882
640	46086	25811
641	46164	25742
642	46238	25671
643	46312	25601
644	46413	25545
645	46485	25473
646	46557	25401
647	46627	25328
648	46698	25255
649	46772	25185
650	46848	25115
651	46918	25042
652	46995	24973
653	47076	24905
654	47151	24835
655	47221	24762
656	47292	24689
657	47361	24616
658	47431	24543
659	47504	24471
660	47574	24399
661	47654	24330
662	47735	24263
663	47805	24190
664	47875	24117
665	47947	24045
666	48019	23973
667	48090	23901
668	48168	23832
669	48242	23761
670	48344	23704
671	48417	23632
672	48566	23597
673	48639	23525
674	48711	23453
675	48783	23381
676	48855	23309
677	48924	23235
678	48992	23161
679	49065	23089
680	49134	23016
681	49287	22981
682	49361	22909
683	49431	22836
684	49501	22763
685	49574	22691
686	49644	22618
687	49714	22544
688	49789	22474
689	49858	22400
690	49928	22326
691	49998	22253
692	50069	22180
693	50140	22108
694	50212	22035
695	50282	21962
696	50353	21889
697	50447	21826
698	50517	21753
699	50590	21681
700	50660	21608
701	50731	21535
702	50805	21464
703	50877	21391
704	50945	21317
705	51015	21244
706	51089	21172
707	51157	21098
708	51228	21026
709	51304	20955
710	51375	20882
711	51445	20809
712	51518	20737
713	51586	20663
714	51655	20589
715	51727	20517
716	51806	20447
717	51882	20377
718	51951	20303
719	52022	20230
720	52107	20163
721	52176	20090
722	52247	20017
723	52315	19943
724	52412	19880
725	52482	19807
726	52556	19735
727	52624	19661
728	52692	19588
729	52763	19515
730	52836	19443
731	52906	19370
732	52973	19296
733	53047	19224
734	53121	19152
735	53190	19079
736	53262	19006
737	53331	18933
738	53399	18859
739	53471	18787
740	53539	18713
741	53609	18640
742	53681	18568
743	53752	18495
744	53825	18423
745	53898	18351
746	53968	18278
747	54036	18204
748	54134	18141
749	54207	18069
750	54282	17997
751	54352	17924
752	54424	17852
753	54495	17779
754	54566	17707
755	54634	17633
756	54701	17559
757	54773	17486
758	54841	17413
759	54911	17340
760	54984	17268
761	55056	17195
762	55127	17123
763	55214	17055
764	55293	16985
765	55372	16915
766	55449	16844
767	55526	16773
768	55603	16702
769	55675	16630
770	55749	16558
771	55826	16487
772	55923	16422
773	55994	16349
774	56066	16277
775	56141	16205
776	56215	16134
777	56291	16062
778	56370	15992
779	56446	15920
780	56518	15848
781	56593	15776
782	56672	15706
783	56749	15635
784	56826	15563
785	56902	15492
786	56979	15421
787	57052	15349
788	57121	15275
789	57200	15205
790	57288	15136
791	57369	15066
792	57452	14997
793	57529	14925
794	57605	14854
795	57675	14781
796	57769	14714
797	57842	14641
798	57924	14571
799	58003	14500
800	58078	14429
801	58156	14357
802	58231	14286
803	58305	14213
804	58397	14146
805	58474	14074
806	58548	14002
807	58622	13930
808	58700	13858
809	58776	13787
810	58854	13715
811	58928	13643
812	59006	13572
813	59084	13500
814	59157	13428
815	59226	13354
816	59297	13281
817	59375	13210
818	59448	13138
819	59550	13072
820	59627	13000
821	59700	12927
822	59773	12855
823	59849	12783
824	59916	12709
825	59986	12636
826	60060	12563
827	60137	12492
828	60207	12419
829	60284	12347
830	60356	12274
831	60434	12203
832	60516	12132
833	60596	12061
834	60677	11990
835	60758	11919
836	60835	11847
837	60916	11776
838	60992	11704
839	61067	11631
840	61149	11560
841	61228	11489
842	61305	11417
843	61401	11349
844	61478	11277
845	61552	11204
846	61624	11131
847	61697	11058
848	61771	10986
849	61848	10914
850	61931	10843
851	62083	10784
852	62155	10711
853	62247	10641
854	62338	10571
855	62410	10498
856	62479	10425
857	62548	10351
858	62622	10279
859	62696	10206
860	62769	10133
861	62842	10060
862	62911	9987
863	62985	9914
864	63084	9845
865	63155	9772
866	63229	9699
867	63301	9626
868	63371	9553
869	63438	9479
870	63510	9406
871	63580	9332
872	63652	9259
873	63733	9188
874	63811	9115
875	63899	9045
876	63980	8973
877	64054	8900
878	64127	8827
879	64204	8755
880	64277	8682
881	64351	8609
882	64427	8536
883	64500	8463
884	64573	8390
885	64648	8318
886	64718	8244
887	64792	8172
888	64867	8099
889	64944	8026
890	65019	7954
891	65094	7881
892	65167	7808
893	65242	7735
894	65314	7662
895	65387	7589
896	65467	7517
897	65570	7447
898	65646	7375
899	65719	7302
900	65793	7229
901	65867	7156
902	65940	7083
903	66017	7010
904	66088	6937
905	66157	6864
906	66230	6791
907	66302	6717
908	66371	6644
909	66443	6571
910	66517	6498
911	66592	6425
912	66692	6355
913	66764	6282
914	66839	6209
915	66911	6135
916	66981	6062
917	67053	5989
918	67132	5917
919	67212	5844
920	67290	5771
921	67364	5698
922	67435	5625
923	67511	5552
924	67586	5479
