Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
16629,0.251709,-0.802246,0.074829,-30.395506,-27.221678,12.023925
16745,0.174438,-0.658325,0.156494,-15.380858,5.859375,-10.009766
16861,0.241699,-0.746582,0.243286,-22.033689,1.89209,-3.90625
16977,0.220093,-0.846802,0.294434,-6.469726,7.446289,1.281738
17093,0.240112,-0.922607,0.346069,-7.324218,1.708984,2.441406
17209,0.24939,-0.902954,0.297241,-5.004883,12.268065,2.746582
17325,0.218384,-0.9104,0.259399,-6.591796,0.488281,-2.197266
17441,0.241943,-0.925293,0.291626,-0.244141,8.911133,-2.13623
17557,0.245239,-0.922607,0.284912,-0.12207,0.732422,-0.244141
17673,0.251709,-0.864868,0.277222,6.04248,3.662109,-3.417969
17789,0.254028,-0.881592,0.312622,7.446289,-1.342773,-0.671387
17905,0.202637,-0.843506,0.249023,10.925292,3.845215,-5.310058
18021,0.238403,-0.889893,0.234619,13.427733,-10.559081,-4.333496
18137,0.221436,-0.89624,0.202026,13.000487,4.150391,-6.469726
18253,0.199341,-0.880493,0.175781,11.291503,9.155273,-4.638672
18369,0.134766,-0.846802,0.126343,14.770507,9.033203,-13.671874
18485,0.177979,-0.866455,0.120483,9.643555,9.887695,-8.666992
18601,0.186157,-1.043091,0.057983,20.996092,1.037598,1.770019
18717,0.179321,-1.045288,0.081299,3.784179,8.361816,-13.183593
18833,0.18689,-0.947021,0.047485,0.366211,3.601074,-7.385253
18949,0.203003,-1.010986,0.032837,8.483887,-5.676269,7.995605
19065,0.194092,-0.987183,0.017944,-6.652832,-12.329101,4.272461
19181,0.145752,-0.977783,0.086548,-3.417969,4.882812,1.831055
19297,0.157349,-1.020752,0.080688,-1.342773,-9.033203,9.460449
19413,0.205444,-1.0448,0.073975,-5.187988,-6.347656,1.342773
19529,0.231445,-1.017578,0.061279,-1.403808,-1.586914,0.427246
19645,0.205444,-1.000366,0.055176,-1.586914,-4.943848,0.976562
19761,0.217163,-0.955078,0.073486,-0.793457,2.13623,-0.793457
19877,0.206665,-1.005493,0.078857,0.854492,6.713867,3.356933
